timeStamp,car,date,time,lat,lon,speed,x,y,z,o2,map,name,description,hr
2025-06-07 13:44:00.129,12,07/06/2025,13:43:59,14.9584856,103.0847397,0.168,-0.08,0.16,0.608,7.231,10.59844,,,1
2025-06-07 13:44:00.271,12,07/06/2025,13:44:00,14.9584856,103.0847397,0.083,-0.016,0.208,1.856,8.013,10.55859,,,1
2025-06-07 13:44:00.420,12,07/06/2025,13:44:00,14.9584856,103.0847397,0.083,-0.064,-0.112,0.496,7.906,10.54062,,,1
2025-06-07 13:44:00.550,12,07/06/2025,13:44:00,14.9584856,103.0847397,0.083,-0.096,-0.08,0.496,7.412,10.63125,,,1
2025-06-07 13:44:00.701,12,07/06/2025,13:44:00,14.9584856,103.0847397,0.083,-0.24,-0.352,0.448,8.234,10.54453,,,1
2025-06-07 13:44:00.831,12,07/06/2025,13:44:00,14.9584856,103.0847397,0.083,0.08,0.4,1.52,7.32,10.56484,,,1
2025-06-07 13:44:00.970,12,07/06/2025,13:44:00,14.9584856,103.0847397,0.083,0.112,0.144,1.68,8.122,10.575,,,1
2025-06-07 13:44:01.099,12,07/06/2025,13:44:00,14.9584856,103.0847397,0.083,-0.112,-0.08,0.512,7.602,10.56484,,,1
2025-06-07 13:44:01.241,12,07/06/2025,13:44:00,14.9584856,103.0847397,0.083,0.08,0.256,1.456,8.122,10.56172,,,1
2025-06-07 13:44:01.380,12,07/06/2025,13:44:01,14.9584875,103.0847397,0.343,-0.304,-0.192,0.24,7.803,10.59063,,,1
2025-06-07 13:44:01.523,12,07/06/2025,13:44:01,14.9584875,103.0847397,0.343,-0.16,0.128,0.704,8.122,10.63281,,,1
2025-06-07 13:44:01.659,12,07/06/2025,13:44:01,14.9584875,103.0847397,0.343,0.048,0.208,1.552,7.412,10.60938,,,1
2025-06-07 13:44:01.791,12,07/06/2025,13:44:01,14.9584875,103.0847397,0.343,-0.144,-0.064,0.704,8.234,10.59844,,,1
2025-06-07 13:44:01.931,12,07/06/2025,13:44:01,14.9584875,103.0847397,0.343,0.016,0.256,1.584,8.013,10.58906,,,1
2025-06-07 13:44:02.061,12,07/06/2025,13:44:01,14.9584875,103.0847397,0.343,-0.224,-0.288,0.448,8.122,10.56484,,,1
2025-06-07 13:44:02.201,12,07/06/2025,13:44:01,14.9584875,103.0847397,0.343,-0.176,0.208,0.416,8.122,10.54062,,,1
2025-06-07 13:44:02.343,12,07/06/2025,13:44:02,14.9584875,103.0847397,0.148,0.176,0.192,1.568,8.122,10.56406,,,1
2025-06-07 13:44:02.481,12,07/06/2025,13:44:02,14.9584875,103.0847397,0.148,-0.112,-0.048,0.704,7.701,10.5875,,,1
