timeStamp,car,date,time,lat,lon,speed,x,y,z,o2,map,name,description,hr
2025-06-07 13:44:01.823,13,,13:44:01,0.0,0.0,,0.112,-0.032,1.056,7.602,10.8375,,,1
2025-06-07 13:44:01.899,13,,13:44:01,0.0,0.0,,0.08,-0.08,0.928,7.412,10.7125,,,1
2025-06-07 13:44:02.021,13,,13:44:02,0.0,0.0,,0.128,-0.032,1.088,6.521,10.74297,,,1
2025-06-07 13:44:02.129,13,,13:44:02,0.0,0.0,,0.096,0.016,0.96,7.32,10.71641,,,1
2025-06-07 13:44:02.222,13,,13:44:02,0.0,0.0,,0.112,-0.048,0.944,8.013,10.74453,,,1
2025-06-07 13:44:02.344,13,,13:44:02,0.0,0.0,,0.096,-0.048,1.152,7.059,10.68438,,,1
2025-06-07 13:44:02.432,13,,13:44:02,0.0,0.0,,0.064,0.0,1.072,6.01,10.72031,,,1
2025-06-07 13:44:02.542,13,,13:44:02,0.0,0.0,,0.128,0.0,1.168,7.144,10.73516,,,1
2025-06-07 13:44:02.633,13,,13:44:02,0.0,0.0,,0.144,-0.016,1.152,7.803,10.72109,,,1
2025-06-07 13:44:02.740,13,,13:44:02,0.0,0.0,,0.096,0.0,1.008,5.683,10.75156,,,1
2025-06-07 13:44:02.840,13,,13:44:02,0.0,0.0,,0.064,0.0,0.912,6.253,10.73047,,,1
2025-06-07 13:44:02.952,13,,13:44:02,0.0,0.0,,0.0,-0.016,0.96,6.896,10.73047,,,1
2025-06-07 13:44:03.048,13,,13:44:03,0.0,0.0,,0.064,0.0,1.056,5.896,10.70391,,,1
2025-06-07 13:44:03.152,13,,13:44:03,0.0,0.0,,0.064,0.0,1.056,7.32,10.71328,,,1
2025-06-07 13:44:03.243,13,,13:44:03,0.0,0.0,,0.08,0.096,1.008,7.803,10.72109,,,1
2025-06-07 13:44:03.360,13,,13:44:03,0.0,0.0,,0.08,0.048,1.2,5.683,10.69766,,,1
2025-06-07 13:44:03.452,13,,13:44:03,0.0,0.0,,0.064,-0.016,1.248,5.953,10.72578,,,1
2025-06-07 13:44:03.561,13,,13:44:03,0.0,0.0,,0.064,-0.032,1.04,5.632,10.71953,,,1
2025-06-07 13:44:03.656,13,,13:44:03,0.0,0.0,,0.096,-0.048,1.104,4.084,10.72188,,,1
2025-06-07 13:44:03.769,13,,13:44:03,0.0,0.0,,0.048,-0.096,0.864,3.472,10.74531,,,1
2025-06-07 13:44:03.881,13,,13:44:03,0.0,0.0,,0.08,0.016,1.12,3.753,10.74297,,,1
2025-06-07 13:44:03.992,13,,13:44:03,0.0,0.0,,0.096,-0.048,1.136,4.258,10.72656,,,1
2025-06-07 13:44:04.081,13,,13:44:04,0.0,0.0,,0.048,-0.048,1.12,4.879,10.71016,,,1
2025-06-07 13:44:04.190,13,,13:44:04,0.0,0.0,,0.032,-0.032,0.864,4.69,10.64453,,,1
2025-06-07 13:44:04.301,13,,13:44:04,0.0,0.0,,0.064,-0.08,1.008,4.801,10.73672,,,1
2025-06-07 13:44:04.423,13,,13:44:04,0.0,0.0,,0.128,-0.064,0.928,4.764,10.69766,,,1
2025-06-07 13:44:04.518,13,,13:44:04,0.0,0.0,,0.208,-0.048,0.896,4.879,10.74844,,,1
2025-06-07 13:44:04.621,13,,13:44:04,0.0,0.0,,0.048,-0.048,0.992,4.958,10.73516,,,1
2025-06-07 13:44:04.716,13,,13:44:04,0.0,0.0,,-0.016,-0.048,0.88,4.258,10.73906,,,1
2025-06-07 13:44:04.821,13,,13:44:04,0.0,0.0,,0.112,0.112,1.136,3.533,10.71016,,,1
2025-06-07 13:44:04.942,13,,13:44:04,0.0,0.0,,0.016,0.032,1.216,3.513,10.73047,,,1
2025-06-07 13:44:05.052,13,,13:44:05,0.0,0.0,,0.016,-0.032,0.768,3.753,10.71094,,,1
2025-06-07 13:44:05.151,13,,13:44:05,0.0,0.0,,0.16,-0.064,0.896,3.873,10.72891,,,1
2025-06-07 13:44:05.259,13,,13:44:05,0.0,0.0,,0.128,0.08,1.056,3.662,10.74844,,,1
2025-06-07 13:44:05.341,13,,13:44:05,0.0,0.0,,0.192,0.032,0.832,3.091,10.70703,,,1
2025-06-07 13:44:05.469,13,,13:44:05,0.0,0.0,,-0.08,0.048,0.912,3.299,10.69844,,,1
2025-06-07 13:44:05.551,13,,13:44:05,0.0,0.0,,0.144,-0.08,1.36,3.575,10.71484,,,1
2025-06-07 13:44:05.663,13,,13:44:05,0.0,0.0,,0.144,0.0,1.344,3.976,10.72422,,,1
2025-06-07 13:44:05.752,13,,13:44:05,0.0,0.0,,0.032,0.0,1.616,4.35,10.69844,,,1
2025-06-07 13:44:05.861,13,,13:44:05,0.0,0.0,,0.224,0.128,0.288,4.548,10.68906,,,1
2025-06-07 13:44:05.962,13,,13:44:05,0.0,0.0,,0.192,-0.224,1.84,4.48,10.71953,,,1
2025-06-07 13:44:06.076,13,,13:44:06,0.0,0.0,,0.128,-0.224,1.904,3.95,10.70391,,,1
2025-06-07 13:44:06.161,13,,13:44:06,0.0,0.0,,0.016,-0.272,1.664,3.662,10.70625,,,1
2025-06-07 13:44:06.271,13,,13:44:06,0.0,0.0,,0.192,0.112,1.248,3.513,10.71719,,,1
2025-06-07 13:44:06.361,13,,13:44:06,0.0,0.0,,0.144,0.144,1.264,3.684,10.68438,,,1
2025-06-07 13:44:06.481,13,,13:44:06,0.0,0.0,,-0.048,0.144,0.624,4.056,10.75,,,1
2025-06-07 13:44:06.574,13,,13:44:06,0.0,0.0,,-0.08,-0.048,0.592,3.898,10.74453,,,1
2025-06-07 13:44:06.702,13,,13:44:06,0.0,0.0,,0.272,0.048,1.808,3.824,10.72578,,,1
2025-06-07 13:44:06.802,13,,13:44:06,0.0,0.0,,0.176,-0.176,1.6,3.924,10.70703,,,1
2025-06-07 13:44:06.915,13,,13:44:06,0.0,0.0,,0.048,-0.016,0.368,4.084,10.74219,,,1
2025-06-07 13:44:07.018,13,,13:44:07,0.0,0.0,,0.032,0.08,-0.224,4.228,10.71719,,,1
2025-06-07 13:44:07.110,13,,13:44:07,0.0,0.0,,0.16,-0.08,2.032,4.726,10.70938,,,1
2025-06-07 13:44:07.232,13,,13:44:07,0.0,0.0,,0.048,0.048,1.216,4.918,10.75547,,,1
2025-06-07 13:44:07.319,13,,13:44:07,0.0,0.0,,0.032,0.272,-0.32,5.082,10.76094,,,1
2025-06-07 13:44:07.422,13,,13:44:07,0.0,0.0,,-0.112,0.032,2.032,5.533,10.69766,,,1
2025-06-07 13:44:07.531,13,,13:44:07,0.0,0.0,,0.112,0.192,1.632,5.485,10.7125,,,1
2025-06-07 13:44:07.649,13,,13:44:07,0.0,0.0,,0.208,-0.288,1.024,5.788,10.71484,,,1
2025-06-07 13:44:07.728,13,,13:44:07,0.0,0.0,,-0.16,0.176,-0.368,6.01,10.69844,,,1
2025-06-07 13:44:07.845,13,,13:44:07,0.0,0.0,,0.288,-0.032,0.448,6.129,10.66797,,,1
2025-06-07 13:44:07.930,13,,13:44:07,0.0,0.0,,0.064,0.0,1.792,6.19,10.69453,,,1
2025-06-07 13:44:08.051,13,,13:44:08,0.0,0.0,,-0.256,0.032,1.28,6.253,10.69609,,,1
2025-06-07 13:44:08.141,13,,13:44:08,0.0,0.0,,0.128,0.0,0.144,6.01,10.71953,,,1
2025-06-07 13:44:08.241,13,,13:44:08,0.0,0.0,,0.176,0.016,0.544,6.01,10.69375,,,1
2025-06-07 13:44:08.351,13,,13:44:08,0.0,0.0,,0.224,-0.128,1.296,6.069,10.70625,,,1
2025-06-07 13:44:08.441,13,,13:44:08,0.0,0.0,,-0.08,-0.192,1.504,6.129,10.71016,,,1
2025-06-07 13:44:08.560,13,,13:44:08,0.0,0.0,,0.256,-0.24,1.712,5.953,10.70859,,,1
2025-06-07 13:44:08.651,13,,13:44:08,0.0,0.0,,0.32,0.016,0.496,5.632,10.69609,,,1
2025-06-07 13:44:08.761,13,,13:44:08,0.0,0.0,,0.064,0.112,0.416,5.632,10.72344,,,1
2025-06-07 13:44:08.860,13,,13:44:08,0.0,0.0,,0.016,-0.064,0.192,5.255,10.69766,,,1
2025-06-07 13:44:08.972,13,,13:44:08,0.0,0.0,,0.112,0.16,1.216,5.632,10.70703,,,1
2025-06-07 13:44:09.070,13,,13:44:09,0.0,0.0,,-0.096,0.128,1.392,5.683,10.70859,,,1
2025-06-07 13:44:09.181,13,,13:44:09,0.0,0.0,,-0.128,0.128,-0.048,6.069,10.68203,,,1
2025-06-07 13:44:09.296,13,,13:44:09,0.0,0.0,,0.16,0.016,0.752,5.953,10.70938,,,1
2025-06-07 13:44:09.401,13,,13:44:09,0.0,0.0,,-0.08,-0.064,1.44,6.318,10.71016,,,1
2025-06-07 13:44:09.481,13,,13:44:09,0.0,0.0,,0.304,-0.064,1.632,6.318,10.69531,,,1
2025-06-07 13:44:09.611,13,,13:44:09,0.0,0.0,,-0.048,0.096,0.256,5.953,10.72109,,,1
2025-06-07 13:44:09.706,13,,13:44:09,0.0,0.0,,0.0,-0.128,1.152,4.801,10.73906,,,1
2025-06-07 13:44:09.816,13,,13:44:09,0.0,0.0,,-0.064,-0.08,0.448,4.654,10.72344,,,1
2025-06-07 13:44:09.902,13,,13:44:09,0.0,0.0,,-0.144,0.24,0.848,4.618,10.69141,,,1
2025-06-07 13:44:10.011,13,,13:44:10,0.0,0.0,,0.176,0.048,1.632,4.801,10.7125,,,1
2025-06-07 13:44:10.121,13,,13:44:10,0.0,0.0,,0.08,-0.144,0.432,5.124,10.75781,,,1
2025-06-07 13:44:10.225,13,,13:44:10,0.0,0.0,,0.0,-0.128,0.512,5.211,10.68047,,,1
2025-06-07 13:44:10.321,13,,13:44:10,0.0,0.0,,0.144,0.064,1.888,5.391,10.75781,,,1
2025-06-07 13:44:10.443,13,,13:44:10,0.0,0.0,,0.0,0.064,0.944,5.211,10.70781,,,1
